track name="1000G,CEPH,WP" description="Data: 1000 Genomes Project phase 1 release 3; Population: CEPH; D' CI method: WP; High LD SNPs proportion: 95%" itemRgb="on"
chr4	33946092	34218166	BLOCK_0000001	0	+	0	0	215,158,158
chr4	98844678	99079773	BLOCK_0000002	0	+	0	0	209,181,181
chr4	153236727	153412284	BLOCK_0000003	0	+	0	0	221,136,136
chr4	116200743	116374064	BLOCK_0000004	0	+	0	0	221,136,136
chr4	68861962	69035178	BLOCK_0000005	0	+	0	0	209,181,181
chr4	53415525	53585147	BLOCK_0000006	0	+	0	0	226,113,113
chr4	34575785	34722739	BLOCK_0000007	0	+	0	0	221,136,136
chr4	116702164	116843723	BLOCK_0000008	0	+	0	0	209,181,181
chr4	107128360	107266883	BLOCK_0000009	0	+	0	0	226,113,113
chr4	144043336	144174576	BLOCK_0000010	0	+	0	0	232,90,90
chr4	150445662	150569933	BLOCK_0000011	0	+	0	0	221,136,136
chr4	87414603	87537437	BLOCK_0000012	0	+	0	0	221,136,136
chr4	170357792	170479800	BLOCK_0000013	0	+	0	0	226,113,113
chr4	106594516	106710653	BLOCK_0000014	0	+	0	0	226,113,113
chr4	135019322	135131809	BLOCK_0000015	0	+	0	0	226,113,113
chr4	35523082	35631581	BLOCK_0000016	0	+	0	0	226,113,113
chr4	22996816	23104198	BLOCK_0000017	0	+	0	0	232,90,90
chr4	135316198	135423242	BLOCK_0000018	0	+	0	0	226,113,113
chr4	97355031	97461788	BLOCK_0000019	0	+	0	0	232,90,90
chr4	99264024	99369061	BLOCK_0000020	0	+	0	0	238,68,68
chr4	101774982	101879734	BLOCK_0000021	0	+	0	0	232,90,90
chr4	144650758	144754316	BLOCK_0000022	0	+	0	0	221,136,136
chr4	133276471	133380015	BLOCK_0000023	0	+	0	0	232,90,90
chr4	136808619	136909727	BLOCK_0000024	0	+	0	0	238,68,68
chr4	135149594	135249945	BLOCK_0000025	0	+	0	0	232,90,90
chr4	152334605	152434028	BLOCK_0000026	0	+	0	0	232,90,90
chr4	81453383	81551141	BLOCK_0000027	0	+	0	0	238,68,68
chr4	43510973	43608245	BLOCK_0000028	0	+	0	0	215,158,158
chr4	143924210	144020943	BLOCK_0000029	0	+	0	0	232,90,90
chr4	147036417	147132683	BLOCK_0000030	0	+	0	0	238,68,68
chr4	44646006	44742271	BLOCK_0000031	0	+	0	0	232,90,90
chr4	118664998	118761098	BLOCK_0000032	0	+	0	0	226,113,113
chr4	168861262	168956972	BLOCK_0000033	0	+	0	0	238,68,68
chr4	44755445	44851030	BLOCK_0000034	0	+	0	0	238,68,68
chr4	17902920	17997541	BLOCK_0000035	0	+	0	0	238,68,68
chr4	92921762	93015805	BLOCK_0000036	0	+	0	0	232,90,90
chr4	107649711	107743509	BLOCK_0000037	0	+	0	0	238,68,68
chr4	87538100	87630518	BLOCK_0000038	0	+	0	0	238,68,68
chr4	17593849	17685773	BLOCK_0000039	0	+	0	0	215,158,158
chr4	78770945	78862185	BLOCK_0000040	0	+	0	0	232,90,90
chr4	33694666	33784564	BLOCK_0000041	0	+	0	0	232,90,90
chr4	78177573	78267292	BLOCK_0000042	0	+	0	0	226,113,113
chr4	46235528	46325204	BLOCK_0000043	0	+	0	0	221,136,136
chr4	68525764	68614799	BLOCK_0000044	0	+	0	0	238,68,68
chr4	87643169	87730743	BLOCK_0000045	0	+	0	0	238,68,68
chr4	12492220	12578776	BLOCK_0000046	0	+	0	0	232,90,90
chr4	52770125	52856660	BLOCK_0000047	0	+	0	0	226,113,113
chr4	103243101	103329490	BLOCK_0000048	0	+	0	0	232,90,90
chr4	152450095	152535916	BLOCK_0000049	0	+	0	0	238,68,68
chr4	89527323	89612380	BLOCK_0000050	0	+	0	0	243,45,45
chr4	69914520	69999111	BLOCK_0000051	0	+	0	0	226,113,113
chr4	45473791	45557780	BLOCK_0000052	0	+	0	0	238,68,68
chr4	104049413	104133376	BLOCK_0000053	0	+	0	0	238,68,68
chr4	117330203	117414145	BLOCK_0000054	0	+	0	0	232,90,90
chr4	46442900	46525310	BLOCK_0000055	0	+	0	0	238,68,68
chr4	65329698	65411108	BLOCK_0000056	0	+	0	0	232,90,90
chr4	129950738	130032031	BLOCK_0000057	0	+	0	0	238,68,68
chr4	59278836	59359633	BLOCK_0000058	0	+	0	0	226,113,113
chr4	173551777	173632325	BLOCK_0000059	0	+	0	0	238,68,68
chr4	162073290	162153767	BLOCK_0000060	0	+	0	0	238,68,68
chr4	153414361	153494354	BLOCK_0000061	0	+	0	0	243,45,45
chr4	110224087	110303856	BLOCK_0000062	0	+	0	0	238,68,68
